Variável,Dado
Palavras-Chave, Arquivos  repressão  Projeto Memórias Reveladas  ditadura militar  acesso - memória 
Colaboradores,
Síntese e Avaliação Farmacológica de Novos Agentes Candidatos a Inibidores da Enzima Acetilcolinesterase Planejados a partir do Ácido Anacárdico,TituloTrabalho
Bolsista, Maíra Nunes Pereira
Unidade Acadêmica, Quimíca 
Instituição, UnB
Orientador (a), LUIZ ANTONIO SOARES ROMEIRO
Introdução," A doença de Alzheimer (DA) é uma doença neurodegenerativa de natureza crônica e progressiva que afeta cerca de 3% da população entre 65 e 74 anos e 50% da população a partir dos 85 anos, sendo clinicamente caracterizada por profunda perda de memória, distúrbios emocionais e mudanças de personalidade. Embora de etiologia desconhecida, a DA é caracterizada por pronunciada alteração do sistema colinérgico e outros sistemas neurotransmissores. A hipótese colinérgica relacionada à diminuição de acetilcolina (ACh) tem constituído a atual abordagem para o tratamento da DA, com a utilização de fármacos anticolinesterásicos capazes de restaurar parcialmente o nível de ACh, com melhoras nos processos cognitivos, como memória e atenção. Descrevemos no presente estudo a utilização do ácido anacárdico saturado como arcabouço molecular na obtenção de novos candidatos a inibidores da enzima acetilcolinesterase, na busca de novos agentes úteis ao tratamento da DA."
Metodologia," A mistura de ácidos anacárdicos foihidrogenada na presença do catalisador Pd/Carvão em EtOHa 60 psi fornecendo o ácido anacárdico saturado (70%). O ácido anacárdico saturado foi O-alquilado com iodeto de metila, carbonato de potássio em acetona sob aquecimento brando, fornecendo o derivado dimetilado LDT28 (80%). O éster LDT28 foi reduzido com hidreto de lítio e alumínio em THF sob refluxo, fornecendo o álcool LDT75 (76%), o qual foi convertido na presença de trifenilfosfina e tetrabrometo de carbono em acetonitrila ao bromoderivado (29%) O intermediário-chave foi adicionado a tubo reator juntamente com as aminas correspondentes, trietilamina em acetonitrila e a mistura submetida à radiação microondas em forno doméstico, à 50% de potência, em até 4 minutos (3 a 4 vezes de 1 minuto), fornecendo os derivados-alvo em rendimentos de 58 a 65%."
Resultados," A síntese dosintermediários foi satisfatória, ontidos em rendimentos que variaram de 70 a 80%. A exceção coube ao bromoderivado, obtido em rendimento de 29%, possivelmente devido ao impedimento estérico para rea,ização da conversão ou desativação dos reagentes. Os derivados-alvo foram obtidos satisfatoriamente em rendimentos de 58 a 70%. Todos os compostos intermediários e finais foram caracterizados pode métodos espectroscópicos de análise."
Conclusão," A síntese dosintermediários foi satisfatória, ontidos em rendimentos que variaram de 70 a 80%. A exceção coube ao bromoderivado, obtido em rendimento de 29%, possivelmente devido ao impedimento estérico para rea,ização da conversão ou desativação dos reagentes. Os derivados-alvo foram obtidos satisfatoriamente em rendimentos de 58 a 70%. Todos os compostos intermediários e finais foram caracterizados pode métodos espectroscópicos de análise."
Palavras-Chave," Acetilcolinesterase, Ácido Anacárdico Saturado, Alzheimer "
Colaboradores," Kaian A. Teles, Laís F. N. Lemes, Andressa S. Oliveira, Vinícius S. P Correia"
Interações Hospedeiro-Hóspede, modelagem da cefalosporina cefotaxima com uma metalo-beta-lactamase.
Bolsista, Maíra Teles Teixeira
Unidade Acadêmica, Química 
Instituição, UnB
Orientador (a), ELAINE ROSE MAIA
Introdução," Cefalosporinas são antibióticos com atividade bacteriostática em bactérias tanto gram-positivas quanto gram-negativas. O mecanismo pelo qual exercem esta ação é pela inibição irreversível da transpeptidase, levando à interrupção da síntese da parede bacteriana. A estrutura química básica das cefalosporinas consiste na junção de um ciclo ?-lactâmico com um dihidrotiazínico. Atualmente há quatro gerações de cefalosporinas. A cefotaxima, que será abordada no presente trabalho, é uma cefalosporina de terceira geração, tendo maior estabilidade à hidrólise pelas ß-lactamases do que as anteriores. [1] Apresenta o grupamento oxima, dando origem a um isomerismo Z e E, que apresentam diferentes atividades antimicrobianas, tendo o isômero Z elevada atividade e o E, baixa atividade.[2] A variação das interações deste fármaco com ß-lactamases nos interessa especialmente, devido a este isomerismo."
Metodologia," Foram efetuados cálculos computacionais por métodos clássicos de mecânica molecular (MM), dinâmica molecular (DM) e quânticos ab initio, através da Teoria do Funcional Densidade (DFT) [3]. A DM é usada para fazer a varredura do espaço conformacional da cefotaxima, a MM, para conduzir conformações triadas nas trajetórias dinâmicas a um estado de equilíbrio e o último método, DFT, fará com que estas geometrias sejam otimizadas até a oitava decimal, permitindo-nos triá-los por critério de energia. Conhecidas as diferenças de geometria, confórmeros preferenciais foram inseridos, um a um, em procedimento computacional conhecido por docking, para estudarmos suas diferentes interações com a proteína TOHO, que foi retirada da base de dados Protein Data Bank (PDB).[4] A estrutura cristalina desta proteína foi determinada por Shimamura, T. et al, em 2002.[5]"
Resultados," Para a cefotaxima, o isômero E apresenta maior estabilidade que o isômero Z, a despeito de sua menor atividade antimicrobiana. O isômero Z tem energia de -2216,2250023 Ha e o E, de -2216,2276771 Ha. Ambos foram estudados no sítio ativo da Toho-1. Os resultados divergiram daqueles detalhados na publicação de Shimamura, pelo fato de que, nesta, a cefotaxima cristalizada e determinada por difração de raios-X encontrava-se na forma já hidrolisada e não possuía a cadeia lateral substituída em C3´."
Conclusão," Para a cefotaxima, o isômero E apresenta maior estabilidade que o isômero Z, a despeito de sua menor atividade antimicrobiana. O isômero Z tem energia de -2216,2250023 Ha e o E, de -2216,2276771 Ha. Ambos foram estudados no sítio ativo da Toho-1. Os resultados divergiram daqueles detalhados na publicação de Shimamura, pelo fato de que, nesta, a cefotaxima cristalizada e determinada por difração de raios-X encontrava-se na forma já hidrolisada e não possuía a cadeia lateral substituída em C3´."
Palavras-Chave," Cefotaxima, beta-lactamase, isomeria E e Z, Toho-1, mecânica molecular, dinâmica molecular, DFT, docking, grupo oxima. "
Colaboradores," Ringo Star F. Guimarães, Dan A. Lerner, Dorothée Berthomieu"
Estudo dos efeitos do uso de retardantes químicos em solos do Cerrado.,TituloTrabalho
Bolsista, Maisa Isabela Rodrigues
Unidade Acadêmica, Engenharia Florestal 
Instituição, UnB
Orientador (a), ERALDO APARECIDO TRONDOLI MATRICARDI
Introdução," Todos os anos diversas áreas são atingidas por queimadas e incêndios florestais no Brasil, sendo estes os principais emissores de dióxido de carbono no país. Eles são relativamente frequentes na região do Cerrado, sendo sua maior ocorrência no período de seca. No Distrito Federal causam inúmeros danos ambientais e socioeconômicos. Podem provocar sérios danos ao solo, principalmente quando são de grande intensidade ou periódicos, pois provocam a destruição da camada orgânica, deixando o solo exposto às intempéries. Como forma de prevenção e controle de incêndios florestais pode-se usar aceiros. Dentre os tipos de aceiros estão os químicos, que consistem na aplicação de retardantes que reduzem ou eliminam a combustão. Além do uso em aceiros, os retardantes químicos são utilizados no combate direto de incêndios florestais. Tais produtos químicos podem ser utilizados puros ou diluídos em água, aplicando-se diretamente na superfície onde se deseja reduzir ou eliminar a ação do fogo. Embor"
Metodologia," Foram selecionadas seis parcelas, sendo que em cinco haverá a aplicação de retardantes químicos e uma funcionará como testemunha, não havendo aplicação do produto na mesma. A parcela testemunha servirá para estimar as alterações através de comparação, caso elas ocorram. Para cada tratamento foram feitas três repetições. As amostras de solos serão analisadas em laboratório antes e depois da aplicação dos retardantes Phos-Check, Licet-F, OneSeven e testemunha. Na análise laboratorial será verificada a quantidade de compostos químicos e as alterações nas propriedades químicas e físicas do solo com o uso dos retardantes químicos."
Resultados," Ao decorrer do projeto foi possível implantar as parcelas experimentais na Fazenda Água Limpa, porém fatores climáticos impediram completar todo o experimento até a presente data. Houve um prolongamento do período chuvoso. A área estudada precisa estar com baixo teor de umidade para que ocorra a propagação o fogo. Como a vegetação se manteve úmida a primeira tentativa não obteve bons resultados No entanto, espera-se obter resultados mais precisos e completos no experimento que será implementado novamente em julho de 2012. A partir de dos resultados do experimento, será possível observar os efeito dos retardantes químicos em solos na área de estudo."
Conclusão," Ao decorrer do projeto foi possível implantar as parcelas experimentais na Fazenda Água Limpa, porém fatores climáticos impediram completar todo o experimento até a presente data. Houve um prolongamento do período chuvoso. A área estudada precisa estar com baixo teor de umidade para que ocorra a propagação o fogo. Como a vegetação se manteve úmida a primeira tentativa não obteve bons resultados No entanto, espera-se obter resultados mais precisos e completos no experimento que será implementado novamente em julho de 2012. A partir de dos resultados do experimento, será possível observar os efeito dos retardantes químicos em solos na área de estudo."
Palavras-Chave," Incêndios florestais, Cerrado, retardantes químicos, solo."
Colaboradores," Corpo de Bombeiros do Distrito Federal, Fazenda Água Limpa - UnB, Programa PrevFogo IBAMA."
Identificação bioquímica de bactérias da castanha-do-pará,TituloTrabalho
Bolsista, Maisa Raposo Pereira de Araujo
Unidade Acadêmica, Genetica e Morfologia 
Instituição, UnB
Orientador (a), LUIS ISAMU BARROS KANZAKI
Introdução," A semente da castanha-do-pará/brasil (Bertholletia excelsa) é utilizada principalmente para consumo in natura ou de seus derivados (farinha, óleo e etc), além de estar presente em formulações cosméticas (óleo). Os frutos (ouriço) e sementes (amêndoas) da castanha- do-pará experimentam vários tipos de contato físico com animais, com o solo e com o homem durante a coleta na floresta e transporte até os locais de beneficiamento para comercialização, o que propicia a proliferação de rica microbiota na superfície e no interior do ouriço, estendendo-se às amêndoas. Este projeto tem como objetivo detectar possíveis patógenos humanos e animais, a partir do isolamento em meios de crescimento, e identificar através de processos bioquímicos, as populações bacterianas das sementes e frutos da castanha-do-pará. Esse tema tem grande mérito comercial, pois as castanhas são exportadas para países com rigoroso controle de qualidade."
Metodologia," As amostras de frutos e sementes da castanha com casca foram coletadas em castanhais nos estados do Amazonas, Acre e Amapá, e processadas para análise microbiológica no Laboratório de Bioprospecção da Universidade de Brasília. Separadamente, amostras de fruto e semente foram imersas em meio de Infusão de Cérebro e Coração (BHI) por 24 a 48h a 37º C em aerobiose. Posteriormente, o caldo com crescimento foi semeado em placas com ágar Nutritivo. As colônias isoladas foram identificadas com base as características morfológicas e esfregaços por microscopia após coloração de gram, complementados por caracterização bioquímica realizada em aparelho semiautomático MicroScan autoSCAN Walkaway (W/A)-(Dade/Baxter, West Sacramento, CA), utilizando-se kits comerciais da bioMerieux."
Resultados," Foram analisadas amostras coletadas no Acre, Amazonas e Amapá. Identificaram-se 12 bactérias diferentes no Acre, dentre elas Klebsiella pneumoniae ssp pneumoniae e Pseudomonas aeruginosa que são patógenos comumente encontrados em ambientes nosocomiais causando infecções do trato urinário e respiratório. No Amazonas foram identificadas 17 bactérias diferentes, incluindo Kocuria varians que parece estar envolvida na maturação dos frutos e amêndoas não sendo patogênica e Serratia marcescens bactéria patogênica envolvida em diversas infecções, como do trato respiratório, e inflamações, como endocardite. Por fim 14 bactérias, foram identificadas no Amapá, como Enterobacter cloacae patógeno presente em patologia de vertebrads incluindo o homem, e Enterococcus durans que se propõe estar envolvido na maturação dos frutos e sementes não sendo patogênica (MARTINS JUNIOR et al., 2009)."
Conclusão," Foram analisadas amostras coletadas no Acre, Amazonas e Amapá. Identificaram-se 12 bactérias diferentes no Acre, dentre elas Klebsiella pneumoniae ssp pneumoniae e Pseudomonas aeruginosa que são patógenos comumente encontrados em ambientes nosocomiais causando infecções do trato urinário e respiratório. No Amazonas foram identificadas 17 bactérias diferentes, incluindo Kocuria varians que parece estar envolvida na maturação dos frutos e amêndoas não sendo patogênica e Serratia marcescens bactéria patogênica envolvida em diversas infecções, como do trato respiratório, e inflamações, como endocardite. Por fim 14 bactérias, foram identificadas no Amapá, como Enterobacter cloacae patógeno presente em patologia de vertebrads incluindo o homem, e Enterococcus durans que se propõe estar envolvido na maturação dos frutos e sementes não sendo patogênica (MARTINS JUNIOR et al., 2009)."
Palavras-Chave," Castanha-do-Pará / Brasil, Bertholletia excelsa, identificação bioquímica, contaminação bacteriana, Amazônia."
Colaboradores, Paulo de Oliveira Martins Júnior Vespasiano Yoji Kanzaki de Sousa Jurema do Socorro Azevedo Dias Rogério Eiji Hanada Virginia de Souza Alvares Elida Cleyse Gomes da Mata
Caracterização de Sensores Térmicos em Fotobiorreatores,TituloTrabalho
Bolsista, Maisa Rodrigues Campos
Unidade Acadêmica, Física 
Instituição, UnB
Orientador (a), WILIAM FERREIRA DA CUNHA
Introdução," O crescimento da concentração de gases do efeito estufa na atmosfera, como o CO2, tem como consequência variações climáticas de intensidade relevante, observadas com bastante frequência atualmente. O desenvolvimento de alternativas para reduzir a emissão de gases do efeito estufa, com destaque ao CO2 vem contribuindo para a elaboração de mecanismos de desenvolvimento limpo. Dessa forma, fotobioreatores apresentam-se como um mecanismo promissor, pois eles consistem no cultivo de microalgas (seres fotossintetizantes) para efetuar o sequestro de CO2 e também para a formação de biomassa. Com isso, o controle das variáveis que influenciam no cultivo das microalgas, como temperatura, luminosidade, pH, concentração de nutrientes e outros, são de suma importância para a eficiência do fotobioreator. Em face disto, o presente trabalho avaliou diferentes tipos de sensores e dispositivos eletrônicos para o controle de temperatura no fotobioreator, utilizando placas microcontroladas Arduino."
Metodologia," Foi feito um trabalho inicial para a calibração de sensores de temperatura utilizando-se os sensores termistor TTC 222, LM 335 e TMP 36, junto com uma placa Arduino. Foram feitas medições de valores de temperatura com esses sensores, cujo objetivo foi associar a cada grau de temperatura um valor lido pela placa Arduino, a fim de se encontrar uma expressão matemática que relacionasse esses valores. Após, iniciou-se o estudo do dispositivo eletrônico peltier, juntamente com o de pontes H para o controle do sentido da corrente no peltier, para que ele pudesse ser utilizado como aquecedor e refrigerador. Em seguida, o trabalho prosseguiu com o estudo do controle de temperatura por modulação por pulso, utilizando-se um programa feito na Arduino com os dados obtidos anteriormente, para controlar o funcionamento de dispositivos eletrônicos em conjunto, como peltiers, sensores de temperatura, coolers e ventoinhas através da variação de 3 parâmetros: proporcional, integral e diferencial (PID)."
Resultados," Com a calibração dos sensores, decidiu-se utilizar o sensor TMP 36, pois ele apresentou maior linearidade entre os dados obtidos. A equação do sensor TMP 36 foi então encontrada e utilizada no programa da placa Arduino para o controle da temperatura no fotobioreator. Nos peltiers, observou-se que eles apresentam maior eficiência quando utilizados como aquecedor se comparado à sua utilização como refrigerador. No estudo da modulação por pulso verificamos que de fato, para uma dada temperatura que se deseja obter, o termo proporcional contribui para que a resposta do sistema se estabilize, porém o sistema se estabiliza para um valor diferente do qual se deseja, já o termo integral contribui para que esse erro seja levado à zero, ou seja, para que se alcance a temperatura que se deseja, por último, o termo diferencial contribui com a velocidade da estabilidade do sistema, porém há oscilações para se alcançar essa estabilidade."
Conclusão," Com a calibração dos sensores, decidiu-se utilizar o sensor TMP 36, pois ele apresentou maior linearidade entre os dados obtidos. A equação do sensor TMP 36 foi então encontrada e utilizada no programa da placa Arduino para o controle da temperatura no fotobioreator. Nos peltiers, observou-se que eles apresentam maior eficiência quando utilizados como aquecedor se comparado à sua utilização como refrigerador. No estudo da modulação por pulso verificamos que de fato, para uma dada temperatura que se deseja obter, o termo proporcional contribui para que a resposta do sistema se estabilize, porém o sistema se estabiliza para um valor diferente do qual se deseja, já o termo integral contribui para que esse erro seja levado à zero, ou seja, para que se alcance a temperatura que se deseja, por último, o termo diferencial contribui com a velocidade da estabilidade do sistema, porém há oscilações para se alcançar essa estabilidade."
Palavras-Chave," fotobioreator, temperatura, sensor, peltier, Arduino, PID."
Colaboradores," Luiz Fernando Roncaratti Júnior, José Arlan Ribeiro de Sá, Gabriela Moura do Amaral, Pedro Terceiro Haluch Pino."
Produção de células-tronco pluripotentes induzidas livres de seqüências de vetores e transgenes a partir de células mesenquimais de cordão umbilical humano.,TituloTrabalho
Bolsista, Maísa Siqueira Veras
Unidade Acadêmica, Genética e Morfologia 
Instituição, UnB
Orientador (a), DANIELA MARA DE OLIVEIRA
Introdução," Células-tronco embrionárias (CTE) são derivadas da camada interna do blastócito e originam as células de todos os tecidos de um indivíduo adulto. Esses tipos celulares têm sido muito estudados, nos últimos anos, por representarem uma promessa de cura ou tratamento para doenças degenerativas. Contudo, a utilização CTEs humanas levanta questões éticas e também tem o desafio da barreira imunológica que geraria a rejeição destas células. Como alternativa a esses problemas, foram desenvolvidas as células tronco pluripotentes induzidas (induced pluripotent stem cells, células iPS). As células iPS produzem marcadores de superfície, morfologia e propriedades de crescimento e diferenciação semelhantes aos das CTEs. Foram produzidas pela primeira vez em 2006 a partir de fibroblastos de camundongo por Takahashi Em 2007, o mesmo grupo produziu células iPS humanas a partir de fibroblasto cutâneo. Inicialmente, a reprogramação de células adultas em células iPS foi realizada com a utilização de vet"
Metodologia," Obtenção de células competentes E. coli (Top10, Invitrogen) competentes para transformação foram preparadas. Pré-inóculo foi preparado a partir de 5µl da amostra comercial de Top10 e 1ml de meio Luria-Bertani (LB). Depois de duas horas no shaker a 37°C e 200rpm, o pré-inóculo foi colocado em uma placa de Petri sem antibiótico. Uma colônia isolada foi selecionada e cultivada em 10 ml de meio LB a 30°C até que a densidade óptica a 600 nm atingisse um valor entre 0,2 e 0,3. Em seguida, a cultura foi centrifugada e ressuspendida com as soluções RF1 e RF2 respectivamente. Todo o procedimento foi realizado a baixas temperaturas. Ao final do procedimento as células foram aliquotadas e congeladas a -80°C. Transformação Os plasmideos gentilmente cedidos por James A. Thomson (University of Wisconsin Medical School, E.U.A) foram eluídos com o tampão Tris-EDTA e congelados para posterior transformação Escherichia coli. competentes Escherichia coli. As células de E.coli foram descongeladas e"
Resultados," Os vetores espissomais foram adequadamente eluídos e estocados.As células competentes foram obtidas com sucesso e são viáveis. As alíquotas encontram-se congeladas em freezer a -80°C.A primeira transformação com os vetores pEP4EO2SET2K e pEP4EO2SEN2K não funcionou, pois não foi possível observar colônias isoladas nas placas. A segunda transformação,no entanto, foi satisfatória e para verificar se os vetores estavam mesmo dentro das células, o DNA plasmidial foi purificado e digerido com as enzimas Pme1 e EcoR1.O gel de agarose produzido com a digestão utilizando Pme1 não mostrou bandas separadas, o que sugere que a digestão não aconteceu.Contudo, o gel produzido após a digestão com EcoR1 apresentou algumas bandas separadas, mostrando que a digestão foi bem sucedida. Tendo comprovado a transformação, mais uma colônia isolada de cada placa foi utilizada para obtenção em larga escala de E.coli contendo pEP4EO2SET2K e pEP4EO2SEN2K. As culturas obtidas foram centrifugadas e os pellets conge"
Conclusão," Os vetores espissomais foram adequadamente eluídos e estocados.As células competentes foram obtidas com sucesso e são viáveis. As alíquotas encontram-se congeladas em freezer a -80°C.A primeira transformação com os vetores pEP4EO2SET2K e pEP4EO2SEN2K não funcionou, pois não foi possível observar colônias isoladas nas placas. A segunda transformação,no entanto, foi satisfatória e para verificar se os vetores estavam mesmo dentro das células, o DNA plasmidial foi purificado e digerido com as enzimas Pme1 e EcoR1.O gel de agarose produzido com a digestão utilizando Pme1 não mostrou bandas separadas, o que sugere que a digestão não aconteceu.Contudo, o gel produzido após a digestão com EcoR1 apresentou algumas bandas separadas, mostrando que a digestão foi bem sucedida. Tendo comprovado a transformação, mais uma colônia isolada de cada placa foi utilizada para obtenção em larga escala de E.coli contendo pEP4EO2SET2K e pEP4EO2SEN2K. As culturas obtidas foram centrifugadas e os pellets conge"
Palavras-Chave," células-tronco, células-tronco pluripotente induzidas, células mesenquimais. "
Colaboradores,
Caracterização dos mecanismos pelos quais IL-1b estimula a expressão de CD1 em monócitos humanos estimulados com lipídeos de Mycobacteria tuberculosis.,TituloTrabalho
Bolsista, Manuella de Carvalho Capparelli Santa Maria
Unidade Acadêmica, Biologia Celular 
Instituição, UnB
Orientador (a), KELLY GRACE MAGALHAES
Introdução," Mycobacterium tuberculosis é o agente etiológico da tuberculose, sendo essa doença a segunda maior causadora de morte por doença infecciosa no mundo. É um organismo intracelular das células fagocíticas mononucleares, capaz de persistir no organismo do hospedeiro por meio de um sofisticado mecanismo de escape. No entanto, sabe-se que o conteúdo lipídico da sua parede celular é essencial na determinação da virulência e patogênese da tuberculose. Pode-se, então, classificar os lipídeos como Padrões Moleculares Associados a Patógenos, (PAMPs) capazes de interagir e ativar células apresentadoras de antígenos. Os lipídios do bacilo podem atravessar a membrana do hospedeiro, serem processados e apresentados na superfície celular de APCs por meio da glicoproteína CD1, ativando assim células T. O presente estudo tem por objetivo desvendar as propriedades imunomodulatórias de duas cepas da M. tuberculosis: H37Rv e H37Ra, focando no mecanismo de regulação da expressão de CD1 e secreção de IL-1b."
Metodologia," Monócitos humanos da linhagem THP-1 foram estimulados com 10 ug/ml de lipídeos da Mtb H37Rv e H37Ra. As células e os sobrenadantes da interação foram analisados em diferentes períodos. Após 24h de interação, os niveis de citocinas (IL-1b, TNF e IL-6) foram analisados nos sobrenadantes das culturas através da técnica de ELISA. Após 72h, a detecção do CD1 na membrana celular de monócitos foi verificada através da técnica de citometria de fluxo. A detecção específica da citocina IL-1b e da enzima caspase-1 foi realizada através da técnica de Western Blot. Para a caracterização de quais vias de sinalização estão envolvidas na regulação do CD1a e na secreção de citocinas induzidas pelas cepas de Mtb, foram utilizados alguns inibidores: (I) inibidor do PPARg (GW9662), (II) inibidor da caspase-1 (Y-VAD), (III) inibidor de lipid rafts (metil-b-ciclodextrina) e (IV) inibidor de NFkB. Por fim, a detecção dos corpúsculos lipídicos foi feita por microscopia."
Resultados," Os resultados demonstraram que os lipídios totais da cepa virulenta H37Rv induziram a expressão da molécula CD1a em monócitos, de maneira dependente da atividade de caspase-1. Dessa forma, foi demonstrado que a apresentação lipídica foi dependente de caspase-1, já que a inibição com YVAD impediu a expressão de CD1. Foi observado que a fração lipídica da cepa H37Rv induz uma maior expressão das citocinas TNF-a e IL-6 do que a H37Ra, sendo ambas dependentes de NFkB, mas independetes do fator de transcrição PPARg e das lipid rafts. Nenhuma diferença entre os níveis de IL-1b foi observado entre as estimulações com os lipídios totais da cepa virulenta H37Rv e avirulenta H37Ra. A secreção de IL-1 induzida pelos lipídeos de Mtb mostrou ser dependente de caspase-1 e ASC, mas independente do IPAF. Por fim, observou-se diminuição efetiva dos cospúsculos lipídicos dos macrófagos estimulados com os lipídios totais da cepa virulenta, consistindo provavelmente um mecanismo de escape."
Conclusão," Os resultados demonstraram que os lipídios totais da cepa virulenta H37Rv induziram a expressão da molécula CD1a em monócitos, de maneira dependente da atividade de caspase-1. Dessa forma, foi demonstrado que a apresentação lipídica foi dependente de caspase-1, já que a inibição com YVAD impediu a expressão de CD1. Foi observado que a fração lipídica da cepa H37Rv induz uma maior expressão das citocinas TNF-a e IL-6 do que a H37Ra, sendo ambas dependentes de NFkB, mas independetes do fator de transcrição PPARg e das lipid rafts. Nenhuma diferença entre os níveis de IL-1b foi observado entre as estimulações com os lipídios totais da cepa virulenta H37Rv e avirulenta H37Ra. A secreção de IL-1 induzida pelos lipídeos de Mtb mostrou ser dependente de caspase-1 e ASC, mas independente do IPAF. Por fim, observou-se diminuição efetiva dos cospúsculos lipídicos dos macrófagos estimulados com os lipídios totais da cepa virulenta, consistindo provavelmente um mecanismo de escape."
Palavras-Chave," Mycobacterium tuberculosis, IL-1B, Inflamassoma, CD1."
Colaboradores," (I) Purificação dos lipídeos da Mtb: Tan-Yun Cheng e David Branch Moody  Division of Reumathology, Immunology and Allergy, Brigham and Womens Hospital and Harvard Medical School, Boston, USA. (II) Caracterização de lipídeos da Mtb: Georgia Atella"
"- Laboratório de Bioquímica de Lipídios, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brasil. (III) Fornecimento dos macrófagos deficientes em componentes do inflamassoma"," Dario Zamboni - Biologia Celular Molecular e Bioagentes Patogênicos, Medicina de Ribeirão Preto, Universidade de São Paulo, São Paulo, Brasil."
O Reconhecimento Judicial de Uniões Estáveis Paralelas, O Poliamorismo no Direito.
Bolsista, Marcel Fortes de Oliveira Portela
Unidade Acadêmica, Direito 
Instituição, UnB
Orientador (a), ALEXANDRE BERNARDINO COSTA
Introdução," As uniões afetivas simultâneas ou paralelas têm se multiplicado no cenário fático dos processos das Varas de Família, com os mais variados arranjos. São situações nas quais um sujeito mantém uma convivência familiar com dois ou mais outros sujeitos, formando núcleos distintos e concomitantes. Apesar do incremento do número de pessoas envolvidas nesse tipo de estruturação da vida privada, não há ainda por parte do Poder Judiciário o devido reconhecimento desses núcleos afetivos simultâneos, como entidades familiares legítimas. O Poder Judiciário, seguindo o entendimento pacificado das cortes superiores insiste na impossibilidade de reconhecimento de uniões estáveis concomitantes ou paralelas, reduzindo a união estável que foi constituída em segundo lugar ao status de concubinato, em função da preeminência do princípio da monogamia, supostamente imprescindível e estrutural à sociedade brasileira e em defesa da lealdade que deve viger entre os companheiros."
Metodologia," O objetivo inicial deste trabalho é entender a argumentação utilizada pelos autores nacionais e pela Jurisprudência para negar reconhecimento, como entidades familiares, a uniões que se formam paralelamente a um casamento anterior ou a uma prévia união estável, no intuito de desvendar os reais motivos da sua marginalização. Procedeu-se à aplicação da Teoria Constitucional das Garantias Institucionais como instrumental teórico adequado para desvelar os verdadeiros fundamentos dos julgados analisados e das teses doutrinárias pesquisadas, fazendo-se emergir, sem disfarces, o entendimento do casamento monogâmico como forma suprema da garantia institucional da família. Conclui-se com a apresentação de algumas perspectivas contemporâneas que dispensariam o emprego da teoria institucional, que dificilmente se desvencilha de sua carga originária homogeneizante e autoritária. Essas percepções hodiernas da família, como entidade eudemonista e plural, um entendimento secular e liberal, permitir"
Resultados," A redução das uniões estáveis constituídas em segundo lugar ao status de concubinato gera extrema iniquidade econômica, resulta de uma discriminatória imposição valorativa e normalmente vitimiza a mulher. A teoria constitucional das garantias institucionais é o fundamento não elaborado da argumentação da doutrina majoritária e dos tribunais para recusar eficácia ao paralelismo afetivo. Uma nova teoria das garantias institucionais que incorporasse uma mais atualizada concepção de família poderia servir para equacionar o problema das famílias simultâneas, mas dificilmente superaria a carga autoritária e homogeneizante de sua concepção originária. Uma perspectiva secular e liberal de família fundada na liberdade de estruturação do afeto é o melhor caminho para dar resposta à questão do paralelismo afetivo."
Conclusão," A redução das uniões estáveis constituídas em segundo lugar ao status de concubinato gera extrema iniquidade econômica, resulta de uma discriminatória imposição valorativa e normalmente vitimiza a mulher. A teoria constitucional das garantias institucionais é o fundamento não elaborado da argumentação da doutrina majoritária e dos tribunais para recusar eficácia ao paralelismo afetivo. Uma nova teoria das garantias institucionais que incorporasse uma mais atualizada concepção de família poderia servir para equacionar o problema das famílias simultâneas, mas dificilmente superaria a carga autoritária e homogeneizante de sua concepção originária. Uma perspectiva secular e liberal de família fundada na liberdade de estruturação do afeto é o melhor caminho para dar resposta à questão do paralelismo afetivo."
Palavras-Chave, Paralelismo Afetivo  Garantias Institucionais  Casamento  Monogamia  Uniões Estáveis Simultâneas 
Colaboradores, Alexandre Bernardino Costa
Efeito de Brincadeiras Ativas sobre o Desempenho Escolar em Crianças,TituloTrabalho
Bolsista, Marcela Brandão Dias
Unidade Acadêmica, Educação Física 
Instituição, UCB
Orientador (a), Carmen Silva Grubert Campbell
Introdução," O exercício físico é importante para um desenvolvimento saudável, tanto físico quanto mental da criança. Tem sido demostrado que crianças ativas fisicamente apresentam melhor desempenho escolar do que as sedentárias."
Metodologia," A amostra foi constituída de 28 crianças (14 meninos e 14 meninas) do quarto ano do ensino fundamental de escola pública do DF. O TDE (Teste de Desempenho Escolar) foi aplicado para seleção da amostra que foi dividida em um grupo com educação física prévia (GCEF) 14 crianças (7F; 7M; 9,6±0,8 anos; 36,3±9,5kg; 1,43±0,10m; 17,5±2,9 kg.m2-1; 93,1± 14,3 pontos no TDE) e um grupo sem educação física prévia (GSEF) com 14 crianças (7F; 7M; 9,3±0,6anos; 36,2±10,3kg; 1,38±0,06m; 19,0±4,4kg.m2-1; 89,8±12,0 pontos no TDE). Ambos os grupos realizaram familiarização com os testes cognitivos (Flanker e Stroop). O GCEF foi submetido a 30min de brincadeiras ativas (178,8±27,2bpm). O GSEF permaneceu sentado em uma sala colorindo desenhos durante 30 min (91,7±11,8bpm). Ao final dos 30min os grupos foram submetidos a prova escrita (20 questões aos 15min de recuperação), e testes cognitivos realizados em computador em laboratório de informática da UCB, 35min (Stroop) e aos 40min (Flanker)."
